iter	Passed	Remaining
0	140	140489
1	142	71100
2	144	47985
3	146	36397
4	148	29473
5	149	24813
6	151	21522
7	154	19182
8	157	17287
9	159	15778
10	161	14507
11	163	13455
12	165	12563
13	167	11764
14	168	11083
15	170	10506
16	172	9982
17	174	9505
18	175	9074
19	177	8682
20	178	8327
21	180	8005
22	181	7710
23	183	7445
24	184	7210
25	186	6987
26	187	6773
27	189	6574
28	190	6388
29	192	6215
30	193	6052
31	195	5903
32	196	5760
33	198	5631
34	200	5515
35	201	5396
36	203	5283
37	204	5175
38	205	5072
39	207	4973
40	208	4879
41	210	4790
42	211	4706
43	212	4626
44	214	4554
45	216	4481
46	217	4412
47	219	4352
48	221	4297
49	223	4244
50	224	4181
51	226	4120
52	227	4061
53	229	4012
54	230	3963
55	232	3915
56	233	3865
57	234	3815
58	236	3766
59	237	3720
60	238	3676
61	240	3633
62	241	3591
63	242	3549
64	244	3518
65	246	3481
66	247	3444
67	248	3407
68	249	3371
69	251	3336
70	252	3303
71	253	3270
72	255	3238
73	256	3207
74	257	3177
75	259	3153
76	260	3126
77	262	3097
78	263	3070
79	264	3042
80	265	3016
81	267	2990
82	267	2959
83	269	2937
84	270	2914
85	271	2890
86	273	2871
87	275	2851
88	276	2830
89	277	2808
90	279	2787
91	280	2767
92	281	2749
93	283	2731
94	284	2713
95	286	2696
96	287	2679
97	290	2672
98	291	2656
99	293	2642
100	295	2628
101	296	2614
102	298	2600
103	300	2585
104	301	2571
105	303	2560
106	305	2548
107	306	2534
108	308	2522
109	310	2511
110	311	2498
111	313	2485
112	314	2471
113	316	2459
114	319	2455
115	320	2444
116	321	2429
117	323	2417
118	325	2408
119	326	2397
120	328	2387
121	329	2374
122	331	2363
123	333	2357
124	335	2347
125	336	2336
126	338	2323
127	339	2311
128	340	2301
129	342	2290
130	343	2280
131	345	2269
132	346	2259
133	348	2252
134	350	2243
135	351	2233
136	353	2224
137	354	2214
138	355	2204
139	357	2194
140	358	2184
141	359	2173
142	361	2166
143	363	2160
144	365	2153
145	366	2145
146	368	2139
147	370	2130
148	371	2121
149	372	2112
150	374	2104
151	375	2095
152	377	2087
153	379	2084
154	381	2077
155	382	2069
156	383	2061
157	385	2053
158	386	2045
159	388	2041
160	389	2030
161	391	2022
162	393	2018
163	394	2012
164	396	2005
165	397	1999
166	399	1992
167	400	1985
168	402	1977
169	403	1969
170	404	1962
171	406	1954
172	407	1949
173	409	1943
174	410	1936
175	412	1930
176	413	1922
177	414	1915
178	416	1909
179	417	1903
180	419	1898
181	421	1892
182	423	1888
183	424	1882
184	425	1876
185	427	1869
186	428	1863
187	429	1856
188	431	1850
189	432	1844
190	433	1837
191	435	1831
192	436	1824
193	438	1820
194	439	1815
195	441	1809
196	442	1802
197	443	1796
198	444	1790
199	446	1784
200	447	1778
201	448	1772
202	449	1766
203	451	1760
204	453	1757
205	454	1752
206	455	1746
207	457	1740
208	458	1734
209	459	1728
210	460	1723
211	462	1718
212	463	1712
213	464	1707
214	466	1701
215	468	1698
216	469	1694
217	470	1688
218	471	1682
219	473	1677
220	474	1672
221	475	1667
222	477	1664
223	479	1659
224	480	1655
225	482	1654
226	484	1650
227	485	1645
228	487	1640
229	488	1635
230	489	1630
231	490	1625
232	492	1620
233	493	1615
234	494	1610
235	496	1605
236	497	1602
237	499	1599
238	500	1594
239	502	1590
240	503	1586
241	505	1582
242	506	1577
243	507	1573
244	509	1568
245	510	1564
246	512	1561
247	513	1557
248	515	1554
249	517	1551
250	518	1546
251	519	1542
252	520	1538
253	522	1533
254	523	1529
255	524	1525
256	526	1522
257	528	1518
258	529	1515
259	531	1511
260	532	1507
261	533	1502
262	534	1498
263	536	1494
264	537	1490
265	538	1486
266	540	1482
267	542	1481
268	544	1479
269	545	1475
270	546	1471
271	548	1467
272	549	1463
273	550	1459
274	551	1454
275	553	1451
276	554	1447
277	556	1444
278	557	1441
279	559	1437
280	560	1433
281	561	1430
282	563	1427
283	564	1423
284	565	1419
285	567	1416
286	568	1412
287	569	1409
288	571	1407
289	573	1403
290	574	1400
291	576	1396
292	577	1393
293	578	1389
294	580	1386
295	581	1382
296	582	1379
297	583	1375
298	585	1371
299	587	1370
300	588	1367
301	590	1364
302	592	1362
303	593	1358
304	594	1355
305	595	1351
306	597	1348
307	598	1345
308	599	1341
309	601	1339
310	603	1336
311	604	1333
312	605	1329
313	607	1326
314	608	1322
315	609	1319
316	610	1316
317	612	1312
318	613	1309
319	614	1306
320	616	1304
321	617	1301
322	619	1297
323	620	1294
324	621	1291
325	623	1288
326	624	1284
327	625	1281
328	626	1278
329	628	1275
330	629	1272
331	631	1270
332	632	1267
333	634	1264
334	635	1261
335	636	1258
336	637	1254
337	639	1251
338	640	1248
339	641	1245
340	642	1242
341	644	1239
342	645	1237
343	647	1234
344	648	1231
345	649	1228
346	651	1225
347	652	1222
348	653	1219
349	654	1216
350	656	1213
351	657	1210
352	659	1207
353	660	1206
354	662	1203
355	664	1201
356	665	1199
357	667	1196
358	668	1193
359	669	1190
360	671	1188
361	673	1186
362	676	1186
363	678	1184
364	679	1182
365	681	1180
366	682	1177
367	684	1175
368	685	1172
369	687	1169
370	688	1167
371	690	1166
372	692	1164
373	693	1161
374	695	1158
375	696	1155
376	697	1153
377	699	1150
378	700	1147
379	701	1144
380	703	1142
381	704	1139
382	706	1137
383	707	1135
384	708	1132
